WARNING 2021-05-26 10:57:32,628 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,632 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:57:32,633 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:57:32,635 log 228 Not Found: /static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:57:32,636 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,636 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,637 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,645 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:57:32,646 log 228 Not Found: /static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:57:32,647 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:57:32,648 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,648 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,649 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
